,instant_L_dens,fungalC
3904,444.5371238919022,100P/100N/100C
3912,1711.5951015556336,100P/100N/100C
3916,1066.421952883865,100P/100N/100C
3917,1114.2961447320722,100P/100N/100C
3918,1142.4643312264805,100P/100N/100C
3919,1119.3380081460148,100P/100N/100C
3920,1110.0081057400255,100P/100N/100C
3921,1110.6826500601455,100P/100N/100C
3926,1460.0378122832503,100P/100N/100C
3927,1459.725411069251,100P/100N/100C
3928,1838.0413440090674,100P/100N/100C
3929,1896.7242378373937,100P/100N/100C
3930,1679.9988632538311,100P/100N/100C
3931,2174.221548438413,100P/100N/100C
3932,3324.9039956685365,100P/100N/100C
3934,2596.896187464099,100P/100N/100C
3935,2032.1228585868187,100P/100N/100C
3936,1757.2647513659065,100P/100N/100C
3937,1362.4366772760104,100P/100N/100C
3938,1270.962537917077,100P/100N/100C
3939,1349.5816960764546,100P/100N/100C
3940,1602.902116959175,100P/100N/100C
3941,1728.2864500116855,100P/100N/100C
3942,1564.1742417903972,100P/100N/100C
3943,1683.367223480918,100P/100N/100C
3944,1731.9157905372833,100P/100N/100C
3945,1855.8291669682344,100P/100N/100C
3946,1823.448741857798,100P/100N/100C
3947,2113.4953373690014,100P/100N/100C
3948,1983.6007105625224,100P/100N/100C
3949,1647.4603214150136,100P/100N/100C
3950,1625.3256202609055,100P/100N/100C
3951,1375.3614690402183,100P/100N/100C
3952,1378.1528760607075,100P/100N/100C
3953,1428.6810992795245,100P/100N/100C
3954,1755.1148164966582,100P/100N/100C
3955,1517.5566640419418,100P/100N/100C
3956,2088.370704860611,100P/100N/100C
3957,1975.1505018882885,100P/100N/100C
3958,2498.8713132219946,100P/100N/100C
3959,2214.8973960768226,100P/100N/100C
3960,2396.1417615721034,100P/100N/100C
3961,1592.1565567453013,100P/100N/100C
3962,1034.4909025169648,100P/100N/100C
3963,1573.4459623071743,100P/100N/100C
3964,1082.5118568222554,100P/100N/100C
3965,1153.2137294392835,100P/100N/100C
3966,1370.7555082352621,100P/100N/100C
3967,1736.2752582588341,100P/100N/100C
3968,1062.1026873561393,100P/100N/100C
3969,1367.0882485159987,100P/100N/100C
3971,1485.1076397991603,100P/100N/100C
3972,1764.8249380688276,100P/100N/100C
3973,1475.3811617087676,100P/100N/100C
3974,3095.247036542045,100P/100N/100C
3975,1552.2750408538589,100P/100N/100C
3977,1909.271676822168,100P/100N/100C
3978,2185.9309904168754,100P/100N/100C
3979,1264.4180540772218,100P/100N/100C
3980,3748.3238488633488,100P/100N/100C
3981,3255.219807920277,100P/100N/100C
3982,4159.92310384944,100P/100N/100C
3983,4021.0349797175822,100P/100N/100C
3984,4726.881566894585,100P/100N/100C
3985,2974.1476246193324,100P/100N/100C
3986,3402.839458127677,100P/100N/100C
3987,3019.5199000975867,100P/100N/100C
4511,1679.2917157224194,0P/100N/100C
4512,2536.0874901593543,0P/100N/100C
4513,2543.5546648656873,0P/100N/100C
4514,1540.2300496339706,0P/100N/100C
4515,1098.362412457994,0P/100N/100C
4517,1393.4933333431147,0P/100N/100C
4518,1420.8384300977832,0P/100N/100C
4519,1562.9036054287099,0P/100N/100C
4520,1638.5926510200657,0P/100N/100C
4521,1456.7894727437968,0P/100N/100C
4522,1714.979587946928,0P/100N/100C
4523,1556.4985716227186,0P/100N/100C
4524,1433.524517280016,0P/100N/100C
4525,1432.3912265889535,0P/100N/100C
4526,1354.2289071812957,0P/100N/100C
4527,1440.2050434318405,0P/100N/100C
4528,1660.5098548224807,0P/100N/100C
4529,1555.8364999507107,0P/100N/100C
4530,1506.2913996402633,0P/100N/100C
4531,1601.348648155545,0P/100N/100C
4532,1202.7802505461038,0P/100N/100C
4533,1109.148166719129,0P/100N/100C
4534,1040.5442930453428,0P/100N/100C
4535,965.8804326382506,0P/100N/100C
4536,890.9073232935934,0P/100N/100C
4537,1140.5057240400606,0P/100N/100C
4538,1102.0760993840706,0P/100N/100C
4539,1128.953681633912,0P/100N/100C
4540,1163.4526666279367,0P/100N/100C
4541,920.0133683842863,0P/100N/100C
4542,1300.7308865546836,0P/100N/100C
4543,1383.6536886959627,0P/100N/100C
4544,1280.083901016897,0P/100N/100C
4545,1388.8226053542016,0P/100N/100C
4546,1462.6759773171577,0P/100N/100C
4547,1061.518994930485,0P/100N/100C
4548,989.6130505568876,0P/100N/100C
4549,1026.3874528020424,0P/100N/100C
4550,1038.952462259159,0P/100N/100C
4551,889.9871212312638,0P/100N/100C
4552,1052.7313522096133,0P/100N/100C
4553,1074.7932918535912,0P/100N/100C
4554,1338.9985269193185,0P/100N/100C
4555,915.708851833999,0P/100N/100C
4556,1364.4145842191351,0P/100N/100C
4557,1391.6445727970763,0P/100N/100C
4558,1127.000020293212,0P/100N/100C
4559,1100.280838824414,0P/100N/100C
4560,1263.974472938234,0P/100N/100C
4561,1223.4173006469316,0P/100N/100C
4562,1028.7787845570526,0P/100N/100C
4563,1326.4729247730893,0P/100N/100C
4564,1085.1946904520432,0P/100N/100C
4565,1103.2455939439787,0P/100N/100C
4566,968.8686251144482,0P/100N/100C
4567,861.2365050550769,0P/100N/100C
4568,790.6479016916634,0P/100N/100C
4569,732.8810828723224,0P/100N/100C
4570,654.985663708768,0P/100N/100C
4571,570.6096966657026,0P/100N/100C
4572,592.696664459003,0P/100N/100C
4573,650.029099307349,0P/100N/100C
4574,318.2249941090256,0P/100N/100C
4575,795.352977165547,0P/100N/100C
4576,940.9933894895495,0P/100N/100C
4577,1180.602769497621,0P/100N/100C
4578,1033.0631635882428,0P/100N/100C
4580,499.405520623466,0P/100N/100C
4581,1921.246988667318,0P/100N/100C
4582,2135.1239990945396,0P/100N/100C
4583,883.1930579435153,0P/100N/100C
4584,1290.2462430760759,0P/100N/100C
4585,1154.0938453234282,0P/100N/100C
4586,459.23191294803235,0P/100N/100C
4587,408.246634390259,0P/100N/100C
4588,1737.0308881095345,0P/100N/100C
4589,1000.4172901381902,0P/100N/100C
4590,2190.641199381323,0P/100N/100C
4591,2938.5173917596294,0P/100N/100C
4592,2737.8941498889117,0P/100N/100C
4593,2287.7725565459727,0P/100N/100C
4596,1680.029490700157,0P/100N/100C
4599,-895.3692488164554,0P/100N/100C
4601,672.9961992190389,0P/100N/100C
4602,186.64837591352352,0P/100N/100C
4603,-165.3952515766069,0P/100N/100C
4605,-5193.904461433646,0P/100N/100C
4606,1533.5139350959082,0P/100N/100C
4607,2997.15365317129,0P/100N/100C
4608,2572.3246964329956,0P/100N/100C
4609,1101.2677300179537,0P/100N/100C
4610,3356.906534807491,0P/100N/100C
4611,-305.3156223963922,0P/100N/100C
4612,-2622.9325025153626,0P/100N/100C
4613,169.602370701359,0P/100N/100C
4616,-48.55321728145724,0P/100N/100C
4623,67.17250067333079,0P/100N/100C
4626,-1621.6435349855099,0P/100N/100C
4630,875.4245540760221,0P/100N/100C
4631,138.66862865275615,0P/100N/100C
4632,3822.8520715680324,0P/100N/100C
4635,1197.2857666866396,0P/100N/100C
4639,113.32058633064331,0P/100N/100C
4640,1281.716319361289,0P/100N/100C
4646,645.6037140456637,0P/100N/100C
4649,414.43770757145273,0P/100N/100C
4654,1930.5993763071472,0P/100N/100C
4655,5702.515741587888,0P/100N/100C
4656,2819.43734865993,0P/100N/100C
4658,4000.216464142781,0P/100N/100C
4659,-87.63312340513684,0P/100N/100C
4661,-80.06516499966209,0P/100N/100C
4662,3610.7660183762673,0P/100N/100C
4663,-2366.422803011863,0P/100N/100C
4664,-8947.106055117896,0P/100N/100C
4665,5100.2248988879155,0P/100N/100C
4666,-2848.5972956782566,0P/100N/100C
4668,-634.8653350850502,0P/100N/100C
4674,227.6737250970722,0P/100N/100C
4675,5941.929936077181,0P/100N/100C
4676,4834.852455801039,0P/100N/100C
4677,2736.29070099878,0P/100N/100C
4679,2345.323782567407,0P/100N/100C
4681,3077.278804432955,0P/100N/100C
4682,805.268511110718,0P/100N/100C
4685,-479.4336140330626,0P/100N/100C
4690,848.2209440808493,0P/100N/100C
